id,nombre,precio,categoria,descripcion
1DFL7Q0,Eos,388.57,Eos,Quos facere aliquid sint debitis illum molestias deserunt reprehenderit sint numquam omnis exercitationem.
5787K62,Assumenda,601.81,Eaque,Ipsum officiis rerum tenetur placeat distinctio illo eum quaerat nisi cumque voluptas perspiciatis.
3MFWEZ8,Excepturi,866.12,Placeat,A vel qui illum sint quasi ipsa cumque officia unde.
OIPBL93,Veritatis,197.02,Odio,Accusamus dolor dolorum sit dolorem dolor nobis voluptate officiis.
297Y4T9,Quidem,483.88,Temporibus,Dolore magnam nostrum molestiae consectetur doloribus ipsum iure accusantium.
JQGX0F9,Blanditiis,417.77,Illum,Consequatur officiis cum cum ab cupiditate non sit sint assumenda quas aperiam eligendi laudantium.
DYQR2YW,Minima,82.68,Reiciendis,Quisquam esse similique facere incidunt cum est odit nemo nostrum.
1ZYIUXB,Facilis,259.04,Omnis,Repudiandae dolores id beatae laudantium aliquam placeat.
8J12T15,Consequatur,907.14,Vitae,Vel quam asperiores omnis quibusdam ut hic rerum vel tenetur perspiciatis exercitationem eveniet natus nisi molestiae.
KJ6W7UU,Quos,236.28,Quia,Sint facilis optio ab quod alias blanditiis fuga fugit aut omnis repudiandae dolorem.
87VODZG,Numquam,843.1,Perspiciatis,Exercitationem earum quas rem aspernatur excepturi quia voluptatibus repellat explicabo ipsam tenetur expedita doloribus quasi animi.
BEC9BOU,Consequatur,123.22,Hic,At similique nisi velit facere nostrum repellat ipsam.
RAVW6ZQ,Labore,595.48,Nisi,Excepturi blanditiis deleniti odit illo corrupti porro ut inventore saepe beatae quasi temporibus numquam ea.
GU0ODMC,Voluptates,742.99,Quos,Neque quam nostrum architecto reprehenderit earum commodi laborum inventore sed pariatur dolore aperiam accusantium perspiciatis doloribus.
B4Y6BWW,Magni,312.22,Eligendi,Aperiam accusamus quos dicta autem laudantium totam nostrum.
PHF8PSP,Dolorum,522.95,Laboriosam,Sint sequi saepe dolorem ex illum id.
N1U6J67,Laudantium,656.22,Minus,Quibusdam officia amet odit aut aliquam doloribus vel magnam provident.
FFPEUA6,Dolorum,628.14,Maiores,Ducimus rerum vel animi tempore dolore asperiores molestiae earum officia suscipit doloremque aliquam quo cumque necessitatibus.
NJ8BD5C,Praesentium,962.77,Sed,Praesentium at in neque blanditiis eligendi voluptatibus dignissimos.
4D8BCEI,Praesentium,215.61,Ab,Ratione pariatur ipsum vel repellendus similique fuga id culpa neque numquam mollitia consequatur voluptatum nostrum eos.
YW8MO33,Quisquam,566.97,Commodi,Itaque sunt rerum eum minima qui provident maxime dolor at.
7U9XBUH,Odit,940.43,Explicabo,Nihil reprehenderit commodi ea ad debitis doloribus quod iste laudantium.
9O3Z8OQ,Explicabo,279.43,Laborum,Explicabo sit quia ullam minus deserunt sint nemo magnam odit nobis.
3KSBNC3,Quam,378.31,Perferendis,Enim assumenda sapiente magnam beatae possimus maxime accusantium velit nemo porro alias optio sequi aliquam temporibus.
F50F24E,Praesentium,344.99,Pariatur,Repellat rerum assumenda atque voluptas iure nemo perferendis cum libero.
EFAW0J6,Quidem,630.73,Deserunt,Magnam mollitia assumenda nisi laborum dolorem vel itaque suscipit inventore sit delectus molestiae.
JLL52SQ,Eos,934.31,Excepturi,Nulla autem sit alias amet maxime dignissimos suscipit assumenda.
SLU8UVM,Non,533.87,Asperiores,Accusamus minima excepturi maiores consequatur animi mollitia excepturi impedit magni.
80EWOFC,Eligendi,846.56,Sequi,Odio perspiciatis nihil atque voluptatum numquam minima nulla atque.
7DU8DEB,Eius,957.52,Aut,Veniam velit delectus quisquam quis deleniti est delectus animi in animi dicta.
P7BDG7X,Maxime,453.67,Accusantium,Aspernatur voluptatem assumenda eveniet veniam ducimus enim vero nulla.
8K4KV29,Eos,980.21,Officiis,Autem nihil deleniti atque culpa dolorum temporibus deleniti similique maxime beatae.
C874NV3,Ut,840.27,Quos,Consequatur facere veritatis officia amet alias amet a voluptate expedita aut voluptatibus praesentium quo harum.
KXMO1C7,Hic,44.94,Repellendus,At omnis eius quo odio nulla perspiciatis nostrum eos assumenda vitae perferendis.
7HPWBLE,Quo,640.65,Distinctio,Unde incidunt voluptatum exercitationem velit beatae dicta tenetur hic ex est totam nisi.
WNV0RAB,Illo,401.64,Nobis,Nobis eaque numquam saepe beatae harum omnis laboriosam ex.
BNWAK9F,Ipsam,402.21,Earum,Odio voluptas libero voluptates iste adipisci officia adipisci voluptatem ab accusamus.
8A7NT8Q,Excepturi,933.24,Pariatur,Aliquam voluptate perferendis ratione qui excepturi saepe dolorum placeat nam qui praesentium ad consequatur esse laborum.
BUUB8WZ,Iusto,705.64,Magnam,Ad nemo nostrum ab ut pariatur eos accusamus magnam voluptatem.
NUJH6WA,Nulla,518.11,Totam,Architecto eligendi error alias quas unde qui est eveniet accusamus eligendi sint.
SRWOSW2,Id,723.95,Unde,Beatae ipsam libero molestiae cupiditate sunt neque aliquid aperiam culpa.
LXOFHOK,Non,698.43,Quisquam,Ipsam exercitationem itaque mollitia deleniti cum nam fugit ipsum assumenda aliquid officiis maxime nisi neque.
XK7CGZN,Aliquam,250.15,Ad,Tempora exercitationem suscipit dolore ipsa vel voluptatibus fugiat harum.
I9UQY03,Maxime,389.62,Aperiam,Eveniet rem repellat error doloribus pariatur eaque autem dignissimos optio.
K6L8J3W,Inventore,976.83,Ullam,Nihil sit optio atque quisquam error ipsum culpa sunt quibusdam atque incidunt eos.
7OAPD4Y,Quaerat,812.44,Animi,Placeat voluptas consequatur delectus similique quia quos iure ab tempora placeat.
4RYSSL6,Voluptate,919.11,Odio,Vero ut nesciunt labore quos enim ex voluptates debitis necessitatibus fuga amet.
RM6OS3T,Iste,785.48,Fuga,Modi aspernatur quae suscipit similique a modi quia incidunt explicabo.
IYS55OW,Voluptas,228.73,Dignissimos,Saepe temporibus beatae veritatis tempora itaque veritatis corrupti excepturi maxime et.
3AJAGHR,Impedit,11.12,Non,Voluptas odio eius aspernatur dolore maxime accusamus atque inventore neque eaque quae expedita.
